,precinct,registered_voters,Parag Gupta,Natalie Gee,Greg Hardeman,Frances Hsieh,Michela Alioto-Pier,Jade Tu,Leah Lacroix,Sandra Lee Fewer,Connie Chan,Mike Chen,Queena Chen,Dan Calamuci,Lanier Coles,Sara Barz,Jen Nossokoff,Catherine Stefani,Marjan Philhour,Mano Raju,Hene Kelly,Gordon Mar,Brian Quan,votes_cast,turnout,geometry,demsForChange,laborAndWorkingFamilies,unaffiliated,demsForChange_percentage,demsForChange_percentage_bin
0,1107,566,53,60,47,55,75,47,42,44,73,46,36,40,40,38,12,90,34,60,42,53,42,1029,181.8,"POLYGON ((-122.45595499996385 37.71133900031657, -122.45593400004748 37.71132100002089, -122.4559010004355 37.71129399992446, -122.45581600004668 37.71122299999241, -122.45577599986373 37.7111909996505, -122.4560500003984 37.71092700003332, -122.4563390001034 37.710831999908685, -122.45637599991332 37.71082499986476, -122.45666899981629 37.71055500020394, -122.4570019999022 37.710159999783215, -122.4571130002303 37.71005700006509, -122.45766999972392 37.70954000019342, -122.45824100035954 37.70899899983363, -122.45880200005111 37.70846699992934, -122.45882499961732 37.70844499989921, -122.45889817458374 37.70837338320319, -122.45922012449336 37.708069677923355, -122.4595860927502 37.70830487427908, -122.45984319777106 37.70806483598668, -122.4601596544827 37.708283240205525, -122.46038352363468 37.70807395272852, -122.46070975491493 37.70829909780226, -122.46106469814829 37.70797002905447, -122.46145500266454 37.708239390695624, -122.4616788664266 37.70803010096268, -122.4619398548644 37.70821021476667, -122.46215889916498 37.708005428603094, -122.46230148964833 37.70787211911664, -122.46291102711133 37.7082866017633, -122.4631358080533 37.70807795320677, -122.46339843232325 37.7082565353596, -122.46373702082857 37.70794224313313, -122.46412368896449 37.708204851193074, -122.4644984993387 37.70820907482073, -122.46449570018828 37.70827242067891, -122.4648118775239 37.7082721015796, -122.46481164665684 37.70821260552601, -122.46533051895484 37.70821133410256, -122.46533078934775 37.70822795996984, -122.46575520918353 37.70822341795441, -122.46619657573713 37.70821986308627, -122.46659015730748 37.70821927179271, -122.46717773994494 37.70821514553004, -122.46786033559336 37.70821034837627, -122.46842454496542 37.70820638130761, -122.46860192270817 37.708205132626134, -122.46886428377177 37.708203286965436, -122.46891287723872 37.708202944413046, -122.46896885395901 37.70820254998035, -122.46893900024719 37.70823200023837, -122.46847399991675 37.70868500000467, -122.46815599989947 37.70893599998823, -122.46771800023154 37.709281999933836, -122.46721000024343 37.709604000157306, -122.46716199966453 37.70963399992148, -122.46679199976869 37.70982600011457, -122.46620299958973 37.710067999841705, -122.46599400025066 37.71015400030035, -122.46493899991637 37.71043600034377, -122.46476700038723 37.710481999745035, -122.46437200037701 37.71052600001075, -122.46417599966013 37.71054800013385, -122.46347500022647 37.710556000112355, -122.46256100035751 37.7105669998149, -122.46234700009725 37.71057000025036, -122.4611600004168 37.71058399967509, -122.46228500017298 37.710992000123284, -122.46255899980935 37.71107900012162, -122.46255799998443 37.711118999719, -122.46255700015953 37.711163000317114, -122.46255700015953 37.711195999860266, -122.46255600033462 37.71125399971088, -122.46256999968001 37.711369999986466, -122.46206300041513 37.711372999678744, -122.4590050004407 37.711386999662395, -122.45603799980454 37.71140800034358, -122.45595499996385 37.71133900031657))",505,512,12,49.6558505408063,45-50%
1,9731,349,61,55,37,47,58,58,48,43,63,55,35,49,49,37,7,85,46,39,41,53,53,1019,292.0,"POLYGON ((-122.4652729998272 37.71236200034258, -122.46504199984854 37.71234600006399, -122.46442400025556 37.71216099992269, -122.46436999982888 37.712123999838994, -122.46412700015462 37.7119560001101, -122.46391500044253 37.711664999703885, -122.46386400038892 37.71161099975188, -122.46378499984786 37.71152700006419, -122.46376099955845 37.71150299972983, -122.46367600006793 37.7114189999197, -122.46347299967834 37.71136200009583, -122.46298099958375 37.71120899997777, -122.46255899980935 37.71107900012162, -122.46228500017298 37.710992000123284, -122.4611600004168 37.71058399967509, -122.46234700009725 37.71057000025036, -122.46256100035751 37.7105669998149, -122.46347500022647 37.710556000112355, -122.46417599966013 37.71054800013385, -122.46437200037701 37.71052600001075, -122.46476700038723 37.710481999745035, -122.46493899991637 37.71043600034377, -122.46599400025066 37.71015400030035, -122.46620299958973 37.710067999841705, -122.46679199976869 37.70982600011457, -122.46716199966453 37.70963399992148, -122.46721000024343 37.709604000157306, -122.46771800023154 37.709281999933836, -122.46815599989947 37.70893599998823, -122.46847399991675 37.70868500000467, -122.46893900024719 37.70823200023837, -122.46896885395901 37.70820254998035, -122.4690304891673 37.70820222235248, -122.46903138478763 37.70820221950973, -122.46905700024796 37.70823200023837, -122.46913000004291 37.70831400023033, -122.46924100037097 37.70843800034046, -122.46927099960989 37.708662000105235, -122.46927900000581 37.70957899998923, -122.46928800022665 37.71054800013385, -122.46696500002105 37.711470000323395, -122.46701600007468 37.71156100005077, -122.46703399961802 37.7115940001273, -122.46706399975525 37.711648000091685, -122.46707200015118 37.712344000295396, -122.46707200015118 37.71237199989314, -122.46617199962756 37.712387000282476, -122.46577999999043 37.71239599994603, -122.4652729998272 37.71236200034258))",551,461,7,54.44664031620553,50-55%
2,1115,529,70,54,38,47,74,48,39,41,62,54,31,43,50,55,12,93,46,52,49,58,51,1067,201.7,"POLYGON ((-122.45270799984353 37.71267299987545, -122.45252500044376 37.71251000009116, -122.45199300016615 37.71208599984906, -122.45189400043199 37.71200800003307, -122.45246699981912 37.71159300023289, -122.45308899961006 37.71117800024052, -122.45302300038612 37.71112499983437, -122.45299700044684 37.71110399978365, -122.4525299995683 37.71073100022608, -122.45190600012755 37.710231000023036, -122.45088400030353 37.70941300002362, -122.4518950002569 37.70906799990745, -122.45266500018585 37.708805999697965, -122.45360499999407 37.708485000207645, -122.45428100021167 37.70825600021077, -122.45435599965644 37.70823200023837, -122.45491665619157 37.70803965620521, -122.45535245139376 37.70834217689082, -122.45558796271182 37.70812272173475, -122.45594036820451 37.70836242084146, -122.45624112595827 37.708080741246434, -122.45668935204738 37.70838578683808, -122.45705896117607 37.70804666575122, -122.45744125721153 37.70831528302302, -122.45748058275973 37.708373935407664, -122.45774358432209 37.7081276105732, -122.45794062438976 37.7082614831764, -122.45820049442506 37.708021512259116, -122.45850900014814 37.708231000298596, -122.45882499961732 37.70844499989921, -122.45880200005111 37.70846699992934, -122.45824100035954 37.70899899983363, -122.45766999972392 37.70954000019342, -122.4571130002303 37.71005700006509, -122.4570019999022 37.710159999783215, -122.45666899981629 37.71055500020394, -122.45637599991332 37.71082499986476, -122.4563390001034 37.710831999908685, -122.4560500003984 37.71092700003332, -122.45561900040319 37.71106599998132, -122.45559599993867 37.71107599970678, -122.45502799967609 37.711316999717646, -122.45450399979445 37.711634000157346, -122.45399900017938 37.711959999668174, -122.45387100013288 37.712042999687306, -122.45295100041609 37.71277199999672, -122.45288399957062 37.71282900015729, -122.45270799984353 37.71267299987545))",584,471,12,55.35545023696683,55-60%
3,1121,586,85,60,52,53,100,75,49,50,89,86,52,79,64,61,15,104,69,62,60,82,69,1416,241.6,"POLYGON ((-122.44888699961285 37.71383499968952, -122.44882999971145 37.71379000010256, -122.44879200007664 37.713759999888964, -122.4481080003614 37.71321100008914, -122.44740899967927 37.712649999792504, -122.44680000030712 37.71216099992269, -122.44609099957923 37.71159200033847, -122.44638299965727 37.71143600029506, -122.44767200034332 37.71074899995442, -122.44837699997493 37.71037300029864, -122.44893099999378 37.71007400004223, -122.44930900028557 37.70994600016026, -122.45009500010802 37.709679999820565, -122.45049900033908 37.70954299995978, -122.45088400030353 37.70941300002362, -122.45190600012755 37.710231000023036, -122.4525299995683 37.71073100022608, -122.45299700044684 37.71110399978365, -122.45302300038612 37.71112499983437, -122.45308899961006 37.71117800024052, -122.45246699981912 37.71159300023289, -122.45189400043199 37.71200800003307, -122.45199300016615 37.71208599984906, -122.45191100015042 37.71215800026231, -122.45101200035003 37.71285499981697, -122.45063099968525 37.71311699992396, -122.4499949996506 37.71347299964801, -122.4496570004401 37.71362799979982, -122.44909900022327 37.71388300026104, -122.44899899976586 37.71392500020267, -122.44888699961285 37.71383499968952))",792,609,15,56.53104925053534,55-60%
4,1106,517,44,60,46,54,51,40,45,58,72,47,44,41,38,31,8,66,34,51,51,64,35,980,189.6,"POLYGON ((-122.46258899994659 37.71402999995259, -122.4590349996796 37.714055000040354, -122.45902399980893 37.713172000072895, -122.45901499958812 37.71229600014815, -122.4590050004407 37.711386999662395, -122.46206300041513 37.711372999678744, -122.46256999968001 37.711369999986466, -122.46255600033462 37.71125399971088, -122.46255700015953 37.711195999860266, -122.46255700015953 37.711163000317114, -122.46255799998443 37.711118999719, -122.46255899980935 37.71107900012162, -122.46298099958375 37.71120899997777, -122.46347299967834 37.71136200009583, -122.46367600006793 37.7114189999197, -122.46376099955845 37.71150299972983, -122.46378499984786 37.71152700006419, -122.46386400038892 37.71161099975188, -122.46391500044253 37.711664999703885, -122.46412700015462 37.7119560001101, -122.46436999982888 37.712123999838994, -122.46442400025556 37.71216099992269, -122.46504199984854 37.71234600006399, -122.4652729998272 37.71236200034258, -122.46577999999043 37.71239599994603, -122.46617199962756 37.712387000282476, -122.46707200015118 37.71237199989314, -122.46707299997608 37.7124219997577, -122.46707399980097 37.712479000187514, -122.46709399989247 37.714273000021436, -122.46619900029006 37.71427999973964, -122.4652999995914 37.714287000167815, -122.46440099979101 37.714293999884696, -122.46350000034082 37.71430100031149, -122.46260200036538 37.7143080000271, -122.46258899994659 37.71402999995259))",427,545,8,43.93004115226338,40-45%
5,9729,411,62,47,32,42,70,53,45,43,68,60,35,46,50,40,12,120,58,47,39,62,54,1085,264.0,"POLYGON ((-122.48504300042923 37.714753999930714, -122.48182200024817 37.714657999885034, -122.48039100017023 37.71459999985634, -122.48030599978144 37.7145970002947, -122.4802050003974 37.714592000314425, -122.47996099999993 37.71459099974983, -122.47888599957417 37.71456699969726, -122.4770160000034 37.714593000168364, -122.47662400036624 37.71456699969726, -122.47629299993014 37.714499000335216, -122.47590700014078 37.71439799996572, -122.4755370002449 37.71424700014862, -122.47544799965813 37.71419399980572, -122.47534200025123 37.71416000031663, -122.47443099985698 37.7136869997449, -122.47396399987676 37.71344600033572, -122.47339099959133 37.71323300012574, -122.47282099967892 37.71302000001406, -122.47271799974675 37.71298099989728, -122.47258399985245 37.71293200028629, -122.47237100031543 37.71286800035407, -122.47226900020817 37.71283799976717, -122.4718690001751 37.71279699979823, -122.4713550003392 37.71280199989968, -122.47116299982027 37.71280399965587, -122.47089500003167 37.712806000122704, -122.47033099996705 37.71281200010152, -122.46999299985826 37.71278100032423, -122.46930599977 37.71264700015192, -122.46866999973535 37.71252399985999, -122.46844600032767 37.71249999984855, -122.4680179998072 37.712455000161505, -122.46719199980177 37.71247699971185, -122.46707399980097 37.712479000187514, -122.46707299997608 37.7124219997577, -122.46707200015118 37.71237199989314, -122.46707200015118 37.712344000295396, -122.46706399975525 37.711648000091685, -122.46703399961802 37.7115940001273, -122.46701600007468 37.71156100005077, -122.46696500002105 37.711470000323395, -122.46928800022665 37.71054800013385, -122.46927900000581 37.70957899998923, -122.46927099960989 37.708662000105235, -122.46924100037097 37.70843800034046, -122.46913000004291 37.70831400023033, -122.46905700024796 37.70823200023837, -122.46903138478763 37.70820221950973, -122.46925234160143 37.70820169075671, -122.4708741061165 37.70820895116079, -122.4709959994157 37.70820875074635, -122.47106422556321 37.70820850484781, -122.47129620470554 37.70820766978766, -122.47140269998246 37.7082072860153, -122.47172799970981 37.708209000198345, -122.47284499996836 37.708204999727165, -122.4751139997473 37.708190999853066, -122.47645100011387 37.708188999972336, -122.47786381649382 37.708184015194846, -122.47956500016483 37.70818099973831, -122.48112091547456 37.70817853293411, -122.48242008239468 37.70817282325232, -122.4834454284431 37.70817106145221, -122.48419696529801 37.70816915182855, -122.48471700001599 37.70817300021406, -122.4853859996626 37.70817300021406, -122.48558999987708 37.708231000298596, -122.48563518783082 37.70815602538569, -122.48575535905967 37.70815602112153, -122.48575533929672 37.70815604102087, -122.48571999957343 37.708200000026274, -122.48570200003009 37.70823200023837, -122.4856529996263 37.70832500026567, -122.48547299970123 37.70859299965334, -122.48528699992838 37.708856999767974, -122.48526799966183 37.70891300016669, -122.48524500009559 37.70898799989834, -122.48520800028567 37.70914899975765, -122.4852099999355 37.709226999740295, -122.48520400008772 37.70928700027242, -122.48525799961608 37.709477000097195, -122.48543599989131 37.71031100011165, -122.48543800043944 37.711272000022845, -122.48543900026434 37.71131900022463, -122.48530600019495 37.711311000328486, -122.48518099962315 37.71464499966199, -122.48517399995048 37.71480299975805, -122.48504300042923 37.714753999930714))",613,460,12,57.129543336439895,55-60%
6,1114,440,38,49,28,40,36,31,34,36,51,37,28,26,20,26,12,53,24,32,25,41,25,692,157.3,"POLYGON ((-122.45607200013973 37.714905000135786, -122.45606100026906 37.7140769998263, -122.45217399991614 37.714104000329904, -122.45228819824665 37.71397679621308, -122.45189646271417 37.713695730629894, -122.45227799967323 37.713344000081364, -122.45288399957062 37.71282900015729, -122.45295100041609 37.71277199999672, -122.45387100013288 37.712042999687306, -122.45399900017938 37.711959999668174, -122.45450399979445 37.711634000157346, -122.45502799967609 37.711316999717646, -122.45559599993867 37.71107599970678, -122.45561900040319 37.71106599998132, -122.4560500003984 37.71092700003332, -122.45577599986373 37.7111909996505, -122.45581600004668 37.71122299999241, -122.4559010004355 37.71129399992446, -122.45593400004748 37.71132100002089, -122.45595499996385 37.71133900031657, -122.45603799980454 37.71140800034358, -122.4590050004407 37.711386999662395, -122.45901499958812 37.71229600014815, -122.45902399980893 37.713172000072895, -122.4590349996796 37.714055000040354, -122.45904600044857 37.71490799968496, -122.45617500007188 37.71492699966941, -122.45607200013973 37.714905000135786))",316,364,12,46.470588235294116,45-50%
7,1122,439,54,54,50,54,74,38,34,45,59,47,36,57,51,36,9,77,53,49,45,64,41,1027,233.9,"POLYGON ((-122.44450815816715 37.71602918087365, -122.44450399986569 37.716031999881245, -122.44444199994143 37.7159839999913, -122.44440199975845 37.715952000284254, -122.4438979999683 37.71555399997483, -122.44379500003615 37.715472000177535, -122.4432560000859 37.71504200003209, -122.44266199988404 37.71456699969726, -122.44334599959925 37.713927999791515, -122.44370600034766 37.71359200031615, -122.443952000395 37.713361999885635, -122.44457099981285 37.71278300008097, -122.44474300024032 37.712622000299746, -122.44552800023784 37.7118869998827, -122.44609099957923 37.71159200033847, -122.44680000030712 37.71216099992269, -122.44740899967927 37.712649999792504, -122.4481080003614 37.71321100008914, -122.44879200007664 37.713759999888964, -122.44882999971145 37.71379000010256, -122.44888699961285 37.71383499968952, -122.44876600013734 37.71390900026159, -122.44829099976118 37.714147000006264, -122.44750699958857 37.714486999939645, -122.44721600023374 37.71460700025428, -122.44699000027792 37.71472400010743, -122.44624499956502 37.71508899997445, -122.44583500038453 37.71529799973513, -122.44583819479368 37.715300545181265, -122.44557172573433 37.715458640523686, -122.44457347017988 37.71607909939217, -122.4445714615469 37.716080688325064, -122.44450815816715 37.71602918087365))",528,490,9,51.8664047151277,50-55%
8,1102,479,45,74,56,67,49,54,55,53,85,47,58,41,42,34,5,80,43,60,59,82,52,1141,238.2,"POLYGON ((-122.46801699998228 37.71610300017964, -122.46799600006591 37.71426600030258, -122.46709399989247 37.714273000021436, -122.46707399980097 37.712479000187514, -122.46719199980177 37.71247699971185, -122.4680179998072 37.712455000161505, -122.46844600032767 37.71249999984855, -122.46866999973535 37.71252399985999, -122.46930599977 37.71264700015192, -122.46999299985826 37.71278100032423, -122.47033099996705 37.71281200010152, -122.47089500003167 37.712806000122704, -122.47116299982027 37.71280399965587, -122.4713550003392 37.71280199989968, -122.47147199961677 37.713426999971546, -122.47159800001343 37.71384899991865, -122.47163900002133 37.713986000346246, -122.47171099999136 37.71422899984871, -122.47183599966482 37.714647000079125, -122.4723970002547 37.716115000313415, -122.47253399962374 37.716496999648136, -122.47257700017977 37.716621000277435, -122.47263200043135 37.71690299986995, -122.47264999997469 37.71703399998837, -122.47267199971601 37.71724799974859, -122.47247199969947 37.717086999720955, -122.47234299982804 37.71698900021251, -122.47210299962852 37.71671799973679, -122.4718280001672 37.71642700026718, -122.47156500040151 37.71613800003143, -122.47145700044645 37.71608500033064, -122.4707140002817 37.716088999665786, -122.46981799995606 37.71609299971135, -122.46983800004755 37.71788799996506, -122.468940999897 37.71789400024296, -122.46803600024886 37.71789999980971, -122.46801699998228 37.71610300017964))",487,649,5,42.86971830985916,40-45%
9,1105,636,95,86,70,76,105,82,77,76,98,72,66,75,82,66,10,152,71,73,73,101,75,1681,264.3,"POLYGON ((-122.46263300032751 37.71742100005924, -122.46262499993162 37.71657099969339, -122.46261999990872 37.71614399974043, -122.46261499988586 37.71561900026963, -122.46260800021317 37.714883999735115, -122.46260200036538 37.7143080000271, -122.46350000034082 37.71430100031149, -122.46440099979101 37.714293999884696, -122.4652999995914 37.714287000167815, -122.46619900029006 37.71427999973964, -122.46709399989247 37.714273000021436, -122.46799600006591 37.71426600030258, -122.46801699998228 37.71610300017964, -122.46803600024886 37.71789999980971, -122.4671370004485 37.717906000086636, -122.46623500027506 37.71791199965247, -122.46534200032251 37.71791799992837, -122.46444000014907 37.71792400020384, -122.46354200017363 37.71792999976816, -122.4626400000002 37.717936000042656, -122.46263300032751 37.71742100005924))",875,796,10,52.36385397965291,50-55%
