,precinct,registered_voters,yes,no,votes_cast,turnout,geometry,yes_perc,yes_perc_bin
0,7042,787,154.0,24.0,178,22.6,"POLYGON ((-122.4216519998981 37.7102860001821, -122.421003000343 37.710104000326815, -122.42032200010253 37.709912000143355, -122.42020199955361 37.71018700029283, -122.4193479999591 37.709947000076895, -122.41850100003727 37.70970900034482, -122.41843499991504 37.709689999733044, -122.41768300042776 37.709478000020205, -122.41745099972586 37.71011500009645, -122.41723599964068 37.71005700006509, -122.4168840001865 37.70994999982677, -122.41655199992547 37.709859000253104, -122.41595600007382 37.70969500004416, -122.41601100032541 37.70956499966396, -122.41599700008169 37.70942000020093, -122.41595199987584 37.709242999981726, -122.41596399957143 37.70899500011579, -122.41504899987751 37.70873800002385, -122.4147779997159 37.708662000105235, -122.41421373015666 37.708503327397395, -122.41426192477167 37.708391850426025, -122.41435366432175 37.708179648006386, -122.41508541039262 37.70838544712934, -122.4151432070997 37.70825594264493, -122.41568167075572 37.708407469208524, -122.41573943153017 37.70827804578112, -122.41608240920398 37.70837450253662, -122.4161690849508 37.70818028833785, -122.41670755040343 37.70833180865993, -122.41673642944322 37.70826709619774, -122.41690056601865 37.708313255428806, -122.41707742363684 37.70836299152395, -122.41713521675064 37.708233487711, -122.41765657738198 37.70838019301436, -122.41771433276654 37.70825076882861, -122.41804142463283 37.70834275112684, -122.41809921595002 37.70821324656789, -122.418620578378 37.708359947647175, -122.41906861132932 37.708482445288446, -122.41918200027774 37.708231000298596, -122.41925043663103 37.708087568141096, -122.42011217072015 37.708332953578775, -122.42104323588458 37.70859814430768, -122.42198304435166 37.70886509800332, -122.42237110487633 37.7089744109464, -122.42290512995653 37.70912484017135, -122.42290936910634 37.70912603411488, -122.42289300000522 37.70916200023426, -122.42250600039095 37.71002799967702, -122.42204600008343 37.71035299994596, -122.42194399997618 37.71036800003333, -122.4216519998981 37.7102860001821))",86.51685393258427,75% and more
1,1107,1049,260.0,41.0,301,28.7,"POLYGON ((-122.45595499996385 37.71133900031657, -122.45593400004748 37.71132100002089, -122.4559010004355 37.71129399992446, -122.45581600004668 37.71122299999241, -122.45577599986373 37.7111909996505, -122.4560500003984 37.71092700003332, -122.4563390001034 37.710831999908685, -122.45637599991332 37.71082499986476, -122.45666899981629 37.71055500020394, -122.4570019999022 37.710159999783215, -122.4571130002303 37.71005700006509, -122.45766999972392 37.70954000019342, -122.45824100035954 37.70899899983363, -122.45880200005111 37.70846699992934, -122.45882499961732 37.70844499989921, -122.45889817458374 37.70837338320319, -122.45922012449336 37.708069677923355, -122.4595860927502 37.70830487427908, -122.45984319777106 37.70806483598668, -122.4601596544827 37.708283240205525, -122.46038352363468 37.70807395272852, -122.46070975491493 37.70829909780226, -122.46106469814829 37.70797002905447, -122.46145500266454 37.708239390695624, -122.4616788664266 37.70803010096268, -122.4619398548644 37.70821021476667, -122.46215889916498 37.708005428603094, -122.46230148964833 37.70787211911664, -122.46291102711133 37.7082866017633, -122.4631358080533 37.70807795320677, -122.46339843232325 37.7082565353596, -122.46373702082857 37.70794224313313, -122.46412368896449 37.708204851193074, -122.4644984993387 37.70820907482073, -122.46449570018828 37.70827242067891, -122.4648118775239 37.7082721015796, -122.46481164665684 37.70821260552601, -122.46533051895484 37.70821133410256, -122.46533078934775 37.70822795996984, -122.46575520918353 37.70822341795441, -122.46619657573713 37.70821986308627, -122.46659015730748 37.70821927179271, -122.46717773994494 37.70821514553004, -122.46786033559336 37.70821034837627, -122.46842454496542 37.70820638130761, -122.46860192270817 37.708205132626134, -122.46886428377177 37.708203286965436, -122.46891287723872 37.708202944413046, -122.46896885395901 37.70820254998035, -122.46893900024719 37.70823200023837, -122.46847399991675 37.70868500000467, -122.46815599989947 37.70893599998823, -122.46771800023154 37.709281999933836, -122.46721000024343 37.709604000157306, -122.46716199966453 37.70963399992148, -122.46679199976869 37.70982600011457, -122.46620299958973 37.710067999841705, -122.46599400025066 37.71015400030035, -122.46493899991637 37.71043600034377, -122.46476700038723 37.710481999745035, -122.46437200037701 37.71052600001075, -122.46417599966013 37.71054800013385, -122.46347500022647 37.710556000112355, -122.46256100035751 37.7105669998149, -122.46234700009725 37.71057000025036, -122.4611600004168 37.71058399967509, -122.46228500017298 37.710992000123284, -122.46255899980935 37.71107900012162, -122.46255799998443 37.711118999719, -122.46255700015953 37.711163000317114, -122.46255700015953 37.711195999860266, -122.46255600033462 37.71125399971088, -122.46256999968001 37.711369999986466, -122.46206300041513 37.711372999678744, -122.4590050004407 37.711386999662395, -122.45603799980454 37.71140800034358, -122.45595499996385 37.71133900031657))",86.37873754152824,75% and more
2,1145,1053,250.0,40.0,290,27.5,"POLYGON ((-122.44616799957213 37.71103899979199, -122.44550300012351 37.70981299975444, -122.4433349997286 37.71055500020394, -122.44299999999285 37.70993499965485, -122.44266899955672 37.70932099986542, -122.44242599988249 37.70887300008927, -122.44234100039198 37.7087140002076, -122.44230500040698 37.70864800031741, -122.44218400003315 37.70842399979967, -122.44210600021533 37.70828000017533, -122.44207899955286 37.708231000298596, -122.44202055785541 37.70812947897783, -122.44211974713416 37.708095654378795, -122.44227866180283 37.70838979511709, -122.44260926608193 37.708277577437194, -122.44257517950847 37.708214483878166, -122.44281104206776 37.7081344232497, -122.44281919158404 37.70814957587378, -122.44289150506607 37.70812502934612, -122.44302113824979 37.708360864434724, -122.44302725577688 37.70835636791145, -122.44303326191287 37.708348956145265, -122.44303637008376 37.708340493981126, -122.44303697195501 37.708330314082374, -122.443040687387 37.708313273906704, -122.44304880995384 37.7082972279805, -122.4430565031259 37.708287438243914, -122.44307108008802 37.70827459396548, -122.4430803956175 37.70826881890765, -122.44308906346167 37.70826049674008, -122.44309220846348 37.708253714634836, -122.44309295765842 37.708246511090216, -122.44308843913258 37.70823446419802, -122.44304412164634 37.708152219640674, -122.44313948679691 37.70811984770305, -122.44324499033378 37.70831564120998, -122.44355333885166 37.7082109744937, -122.44359143191127 37.70828166674059, -122.44384891781779 37.70819426405054, -122.44389276907839 37.70827563938873, -122.44455500261428 37.70805077852011, -122.44472647483234 37.70837272865962, -122.44514036371804 37.70823223050172, -122.44506825595018 37.708098420386385, -122.44531620444333 37.70801425041532, -122.4454611000037 37.708283132891516, -122.44630960550197 37.707995089463424, -122.44644272235233 37.70824219010028, -122.44653601868279 37.708414922899436, -122.44710205882141 37.70822136619426, -122.4470725177233 37.70816667578506, -122.44726380677653 37.708101458588395, -122.4472662034817 37.70810532829813, -122.44727246024766 37.70811236129073, -122.4472804157278 37.70811820956183, -122.44729477439932 37.70812421347368, -122.44730534577359 37.708126115280876, -122.44731618484582 37.70812622970198, -122.44733190985484 37.70812306073399, -122.447400468379 37.70824945902865, -122.44735263668339 37.70826583472488, -122.44739756143075 37.70835059570279, -122.44769603297212 37.70824853157941, -122.44773420238853 37.708319198205615, -122.44775325385909 37.70831268332458, -122.44779142417381 37.70838334988963, -122.44783905195186 37.70836706234468, -122.44787534927924 37.708434258571806, -122.44802775834866 37.708382141720385, -122.44810063417607 37.7085170578623, -122.44815048887772 37.70850000920134, -122.44815957533682 37.70851693846696, -122.44853742740658 37.70838772559437, -122.44851979976573 37.70835488470543, -122.4486087060294 37.708324481463166, -122.44857453501432 37.70826081797154, -122.44866979057042 37.708228243534855, -122.4486562305012 37.708202979947544, -122.44884674251172 37.708137830298426, -122.4488196232716 37.70808730589625, -122.4488990029017 37.70806016035137, -122.44898239710277 37.708215525038156, -122.44956187154646 37.70801735968989, -122.4497062874065 37.70828640703458, -122.44999448401762 37.708189284958905, -122.45018220496253 37.708126022891115, -122.45033653463004 37.70807401242649, -122.45095498517729 37.70786559211453, -122.45117930977509 37.70828348823587, -122.45153665151028 37.7081618224837, -122.45165838940095 37.70838860542578, -122.45241502868664 37.708131935123276, -122.45250517911701 37.70829966990659, -122.45282291592792 37.708191485964754, -122.45285685068613 37.7082546300023, -122.45289961139196 37.70833419088706, -122.45343022646735 37.708153520914095, -122.4535032100926 37.70828931517281, -122.45355240004092 37.708380838318874, -122.45360499999407 37.708485000207645, -122.45266500018585 37.708805999697965, -122.4518950002569 37.70906799990745, -122.45088400030353 37.70941300002362, -122.45049900033908 37.70954299995978, -122.45009500010802 37.709679999820565, -122.44930900028557 37.70994600016026, -122.44893099999378 37.71007400004223, -122.44837699997493 37.71037300029864, -122.44767200034332 37.71074899995442, -122.44638299965727 37.71143600029506, -122.44616799957213 37.71103899979199))",86.20689655172413,75% and more
3,7043,960,214.0,26.0,240,25.0,"POLYGON ((-122.41508099966457 37.71165500005791, -122.41288700022874 37.71103600008619, -122.41228100033132 37.71086600021415, -122.41134900002066 37.71060499987317, -122.41196800033687 37.709210000279555, -122.41223299975245 37.7086150003503, -122.41229800004974 37.70846599999274, -122.41230062582534 37.708460139667366, -122.41237311627549 37.708298358686086, -122.41248079283702 37.70832854233642, -122.41256087854293 37.70832856436776, -122.41289743416075 37.70832865604656, -122.41333984186174 37.70832877686357, -122.41334826266925 37.708309878947745, -122.41336812531848 37.708265305261605, -122.41368672361378 37.70835531751449, -122.41390539241856 37.708416718806745, -122.41407545967152 37.70846447343702, -122.41421373015666 37.708503327397395, -122.4147779997159 37.708662000105235, -122.41504899987751 37.70873800002385, -122.41596399957143 37.70899500011579, -122.41595199987584 37.709242999981726, -122.41599700008169 37.70942000020093, -122.41601100032541 37.70956499966396, -122.41595600007382 37.70969500004416, -122.41655199992547 37.709859000253104, -122.4168840001865 37.70994999982677, -122.41664800018495 37.71047299984896, -122.41599999955643 37.71191499965313, -122.41508099966457 37.71165500005791))",89.16666666666667,75% and more
4,7046,1024,246.0,25.0,271,26.5,"POLYGON ((-122.40972799997195 37.71195199984119, -122.40882699962343 37.71170200001672, -122.40792699999815 37.711447999763365, -122.40701300012917 37.71118999975065, -122.40618499957561 37.71095699997258, -122.40520899978236 37.71068299974462, -122.40434799961685 37.710442999713756, -122.40458699999144 37.71008900018602, -122.40482100034315 37.709747000132374, -122.40510300037545 37.709180000343736, -122.40523700026978 37.708890000338016, -122.40544300013408 37.70835499983694, -122.40545877814372 37.70831955781396, -122.40548129082306 37.7083258054756, -122.40552676533937 37.708338425878374, -122.4061715634739 37.70851737411781, -122.40624897220027 37.70834387827834, -122.40692719395156 37.70834277386888, -122.40696192910866 37.70826555187066, -122.40723355629437 37.70834174550308, -122.40741910421461 37.70832098061215, -122.40774506959355 37.70841241630455, -122.4077741525509 37.7083477607678, -122.40811167295932 37.70832725456916, -122.40887404798812 37.70832749051766, -122.41044986906627 37.708327962414714, -122.4114457449835 37.708328249532784, -122.41183075752438 37.708328360400195, -122.41222881270487 37.70843999879307, -122.41230062582534 37.708460139667366, -122.41229800004974 37.70846599999274, -122.41223299975245 37.7086150003503, -122.41196800033687 37.709210000279555, -122.41134900002066 37.71060499987317, -122.41064100001601 37.71220599978828, -122.40972799997195 37.71195199984119))",90.7749077490775,75% and more
5,9731,630,219.0,36.0,255,40.5,"POLYGON ((-122.4652729998272 37.71236200034258, -122.46504199984854 37.71234600006399, -122.46442400025556 37.71216099992269, -122.46436999982888 37.712123999838994, -122.46412700015462 37.7119560001101, -122.46391500044253 37.711664999703885, -122.46386400038892 37.71161099975188, -122.46378499984786 37.71152700006419, -122.46376099955845 37.71150299972983, -122.46367600006793 37.7114189999197, -122.46347299967834 37.71136200009583, -122.46298099958375 37.71120899997777, -122.46255899980935 37.71107900012162, -122.46228500017298 37.710992000123284, -122.4611600004168 37.71058399967509, -122.46234700009725 37.71057000025036, -122.46256100035751 37.7105669998149, -122.46347500022647 37.710556000112355, -122.46417599966013 37.71054800013385, -122.46437200037701 37.71052600001075, -122.46476700038723 37.710481999745035, -122.46493899991637 37.71043600034377, -122.46599400025066 37.71015400030035, -122.46620299958973 37.710067999841705, -122.46679199976869 37.70982600011457, -122.46716199966453 37.70963399992148, -122.46721000024343 37.709604000157306, -122.46771800023154 37.709281999933836, -122.46815599989947 37.70893599998823, -122.46847399991675 37.70868500000467, -122.46893900024719 37.70823200023837, -122.46896885395901 37.70820254998035, -122.4690304891673 37.70820222235248, -122.46903138478763 37.70820221950973, -122.46905700024796 37.70823200023837, -122.46913000004291 37.70831400023033, -122.46924100037097 37.70843800034046, -122.46927099960989 37.708662000105235, -122.46927900000581 37.70957899998923, -122.46928800022665 37.71054800013385, -122.46696500002105 37.711470000323395, -122.46701600007468 37.71156100005077, -122.46703399961802 37.7115940001273, -122.46706399975525 37.711648000091685, -122.46707200015118 37.712344000295396, -122.46707200015118 37.71237199989314, -122.46617199962756 37.712387000282476, -122.46577999999043 37.71239599994603, -122.4652729998272 37.71236200034258))",85.88235294117646,75% and more
6,1146,1157,309.0,55.0,364,31.5,"POLYGON ((-122.44010799969976 37.71147700030639, -122.43957499959728 37.71021699982098, -122.43948099988596 37.70999299978169, -122.43935200001452 37.710043999745494, -122.43867999999487 37.710069999671724, -122.43874000026935 37.7099890001175, -122.43874000026935 37.709901000343535, -122.43854699992549 37.70971699970327, -122.43820600034195 37.70953399994966, -122.43787400008092 37.709470999848385, -122.43760499956912 37.70944100001823, -122.43742299999423 37.70938699986689, -122.43721399975685 37.70930999997793, -122.43702700015909 37.70918699983236, -122.43691500000611 37.70913400013429, -122.43677699991385 37.70913200027901, -122.43618699990995 37.709292999825486, -122.43596799962685 37.709299000088755, -122.43573900019632 37.70906600005044, -122.43532200044478 37.70868599993831, -122.43505200010806 37.708371000266574, -122.43504486299312 37.708362764814446, -122.4350909816015 37.708334283987206, -122.43511843142163 37.70831733193782, -122.43517495252098 37.70828242788822, -122.43525135872748 37.70823524311342, -122.4353654106326 37.70816481022407, -122.43561550520094 37.70832433506137, -122.43573251256332 37.70843777434189, -122.43612990029557 37.708166430597025, -122.43635331939156 37.70835070657011, -122.43640086093136 37.70831226117562, -122.43645556743382 37.708257828813586, -122.43667079119949 37.7080436822702, -122.43677078716534 37.70794418687579, -122.43677889625741 37.707928889939204, -122.43677990955707 37.70791882724816, -122.43759525105163 37.70823730624419, -122.437953613273 37.70837728274759, -122.43817906256153 37.70846534189654, -122.43833699986321 37.70821601470319, -122.43867027842688 37.70835322169532, -122.43874960954794 37.70823159585621, -122.43875995993663 37.708234680958206, -122.43877643144569 37.7082358848658, -122.43879254542526 37.7082329049458, -122.43880665795837 37.708226044662155, -122.43897322627332 37.708284820777294, -122.43904172910193 37.70816378256648, -122.43909673294677 37.708066596367914, -122.43972473078884 37.70833955445128, -122.43985216938832 37.70839494476033, -122.4400576437382 37.708380945632754, -122.44026477547978 37.708470973380294, -122.44038937091135 37.70829003154703, -122.44043322756187 37.708226340308926, -122.44049704298132 37.70813366636465, -122.44068117785164 37.70821090200336, -122.4407537275906 37.70823311602054, -122.44080963693726 37.70824630143692, -122.44090314167687 37.708261284894164, -122.44098727249649 37.708267598654786, -122.44110182835645 37.708265611568535, -122.44115429266401 37.70826061116104, -122.44120381319236 37.70825347228984, -122.44125151014067 37.7082443044005, -122.44129757035854 37.70823322404527, -122.44135529789536 37.7082160687156, -122.44141537991648 37.70819403591917, -122.4415141038679 37.70816077492669, -122.44157795971155 37.70828040740001, -122.44176164362759 37.70828008972215, -122.44195870615316 37.70821534168031, -122.44192915786853 37.7081606470025, -122.44202055785541 37.70812947897783, -122.44207899955286 37.708231000298596, -122.44210600021533 37.70828000017533, -122.44218400003315 37.70842399979967, -122.44230500040698 37.70864800031741, -122.44234100039198 37.7087140002076, -122.44242599988249 37.70887300008927, -122.44266899955672 37.70932099986542, -122.44299999999285 37.70993499965485, -122.4433349997286 37.71055500020394, -122.44550300012351 37.70981299975444, -122.44616799957213 37.71103899979199, -122.4453259996732 37.71132399971514, -122.44440199975845 37.71160600028074, -122.44409700015993 37.71168899998577, -122.44375700040132 37.71178199993864, -122.44369999960158 37.711805000291065, -122.44331999965998 37.71190900031234, -122.44319199961346 37.711944000013396, -122.44256599962458 37.71211500014234, -122.44214300002528 37.712229999894944, -122.44158499980843 37.71238100026925, -122.4411039995845 37.7125109999732, -122.4406039999923 37.71264600027166, -122.44010799969976 37.71147700030639))",84.89010989010988,75% and more
7,1149,1187,358.0,58.0,416,35.0,"POLYGON ((-122.43181400020856 37.71279300028538, -122.42966400025533 37.71235100019583, -122.42935600028375 37.71228799964683, -122.42880800011268 37.71212600032414, -122.42824999989583 37.7118869998827, -122.42764800019638 37.711615999933315, -122.42713299963727 37.71138599976519, -122.42695699991017 37.71130700002471, -122.42673699980216 37.71122499979125, -122.4264380000514 37.71111300031376, -122.42551199958855 37.71078899972992, -122.42503999958544 37.7105429998803, -122.42455500006184 37.71017200016883, -122.42447800006897 37.71010999981374, -122.4244169999696 37.71004700020213, -122.42397099990575 37.70967799998008, -122.42344200000123 37.70937599998919, -122.42332800019841 37.70931500031463, -122.42335553715516 37.709252058302866, -122.42337699970392 37.70920300008241, -122.42376500004144 37.70834199992947, -122.4238493752028 37.70818140198869, -122.4240640887254 37.708242689004045, -122.42535974323272 37.70861250797592, -122.42540889904505 37.7083695149288, -122.42542141078034 37.708307665863714, -122.42562453603577 37.70830722736888, -122.42590482028587 37.70830662186226, -122.42606645415495 37.70830627291416, -122.42618354955223 37.708307761806644, -122.426270857713 37.70830583086592, -122.42639012164338 37.70830557359665, -122.4267984508558 37.708304687368, -122.42705516870272 37.70830413089886, -122.42720255529139 37.708303811088996, -122.4278794430445 37.70830234209572, -122.42795445237071 37.708191348090956, -122.42834965180693 37.708359919930345, -122.428458794419 37.7081929791237, -122.4289161411032 37.708365481063964, -122.42926695657783 37.708383532536416, -122.42964054973483 37.708358191537, -122.42992434010951 37.70834244339889, -122.42984178134162 37.70853029084423, -122.4300130002348 37.70852900023769, -122.42991100012755 37.708689999672835, -122.42989600005889 37.7088669997915, -122.42928900033661 37.70887100022695, -122.42924800032871 37.70930399971555, -122.42926900024511 37.709615000001214, -122.4301499996038 37.71087200035006, -122.43086299963136 37.71101699981467, -122.43110899967864 37.71096599980988, -122.43123900027331 37.71085499984532, -122.43136599959658 37.710657999940565, -122.43182900027719 37.71121699988496, -122.431866999912 37.711404999942104, -122.43216599966274 37.71202000011941, -122.43231499962567 37.71222900000906, -122.43198200043807 37.71269400019218, -122.4319570003237 37.71272900023305, -122.43195351216544 37.71272828176983, -122.43189322712503 37.71280997760484, -122.43181400020856 37.71279300028538))",86.0576923076923,75% and more
8,1115,940,233.0,37.0,270,28.7,"POLYGON ((-122.45270799984353 37.71267299987545, -122.45252500044376 37.71251000009116, -122.45199300016615 37.71208599984906, -122.45189400043199 37.71200800003307, -122.45246699981912 37.71159300023289, -122.45308899961006 37.71117800024052, -122.45302300038612 37.71112499983437, -122.45299700044684 37.71110399978365, -122.4525299995683 37.71073100022608, -122.45190600012755 37.710231000023036, -122.45088400030353 37.70941300002362, -122.4518950002569 37.70906799990745, -122.45266500018585 37.708805999697965, -122.45360499999407 37.708485000207645, -122.45428100021167 37.70825600021077, -122.45435599965644 37.70823200023837, -122.45491665619157 37.70803965620521, -122.45535245139376 37.70834217689082, -122.45558796271182 37.70812272173475, -122.45594036820451 37.70836242084146, -122.45624112595827 37.708080741246434, -122.45668935204738 37.70838578683808, -122.45705896117607 37.70804666575122, -122.45744125721153 37.70831528302302, -122.45748058275973 37.708373935407664, -122.45774358432209 37.7081276105732, -122.45794062438976 37.7082614831764, -122.45820049442506 37.708021512259116, -122.45850900014814 37.708231000298596, -122.45882499961732 37.70844499989921, -122.45880200005111 37.70846699992934, -122.45824100035954 37.70899899983363, -122.45766999972392 37.70954000019342, -122.4571130002303 37.71005700006509, -122.4570019999022 37.710159999783215, -122.45666899981629 37.71055500020394, -122.45637599991332 37.71082499986476, -122.4563390001034 37.710831999908685, -122.4560500003984 37.71092700003332, -122.45561900040319 37.71106599998132, -122.45559599993867 37.71107599970678, -122.45502799967609 37.711316999717646, -122.45450399979445 37.711634000157346, -122.45399900017938 37.711959999668174, -122.45387100013288 37.712042999687306, -122.45295100041609 37.71277199999672, -122.45288399957062 37.71282900015729, -122.45270799984353 37.71267299987545))",86.29629629629629,75% and more
9,1148,1153,381.0,58.0,439,38.1,"POLYGON ((-122.43405899969804 37.71331500026903, -122.43389700021463 37.713251999829005, -122.43368200012948 37.71318100035177, -122.43336599976202 37.71311400030229, -122.4327959998496 37.71299600016328, -122.43209899971558 37.712848999841626, -122.43189799987414 37.712811000223496, -122.43189322712503 37.71280997760484, -122.43195351216544 37.71272828176983, -122.4319570003237 37.71272900023305, -122.43198200043807 37.71269400019218, -122.43231499962567 37.71222900000906, -122.43216599966274 37.71202000011941, -122.431866999912 37.711404999942104, -122.43182900027719 37.71121699988496, -122.43136599959658 37.710657999940565, -122.43123900027331 37.71085499984532, -122.43110899967864 37.71096599980988, -122.43086299963136 37.71101699981467, -122.4301499996038 37.71087200035006, -122.42926900024511 37.709615000001214, -122.42924800032871 37.70930399971555, -122.42928900033661 37.70887100022695, -122.42989600005889 37.7088669997915, -122.42991100012755 37.708689999672835, -122.4300130002348 37.70852900023769, -122.43017899991615 37.70842000005079, -122.43038700032861 37.70834599968255, -122.43070600017082 37.70830600000975, -122.43138197703223 37.70822511792331, -122.43150286960821 37.70816987246809, -122.43174902057248 37.70846318425073, -122.43184849641379 37.70835577093348, -122.43208904907722 37.70841709333904, -122.43216710908212 37.70821555275509, -122.43217488759417 37.70819547009084, -122.43220021559361 37.70815369858664, -122.43237463877738 37.708222350499, -122.43270273496017 37.70835148690568, -122.43279752069739 37.708179404950506, -122.43315506724845 37.70815790018581, -122.43342521850217 37.708330510232386, -122.43373684587084 37.70822785407715, -122.43375677679207 37.708217715382915, -122.43377249910617 37.7082036614988, -122.43378283242687 37.70818674566469, -122.43378700420304 37.708168237170725, -122.43378666104661 37.70815881768658, -122.4337811525773 37.70814053163166, -122.43376960653094 37.708124118951865, -122.4337574909527 37.70811378622496, -122.43374297058446 37.708105641001936, -122.43382714542153 37.70798944728316, -122.4339233289373 37.708030270817886, -122.4340238090951 37.70806393554136, -122.43412774237686 37.708090159319106, -122.43418073219881 37.70810040818783, -122.43425454407077 37.708107296200026, -122.43431355260515 37.70810028879181, -122.43451847269449 37.708047217958125, -122.43468310963156 37.70800855067049, -122.43477375503365 37.707989413880675, -122.43488513984066 37.70815442988665, -122.43497799958989 37.70829200015472, -122.43500000022952 37.70831099970353, -122.43504486299312 37.708362764814446, -122.43505200010806 37.708371000266574, -122.43532200044478 37.70868599993831, -122.43573900019632 37.70906600005044, -122.43596799962685 37.709299000088755, -122.43618699990995 37.709292999825486, -122.43677699991385 37.70913200027901, -122.43691500000611 37.70913400013429, -122.43702700015909 37.70918699983236, -122.43721399975685 37.70930999997793, -122.43742299999423 37.70938699986689, -122.43760499956912 37.70944100001823, -122.43787400008092 37.709470999848385, -122.43820600034195 37.70953399994966, -122.43854699992549 37.70971699970327, -122.43874000026935 37.709901000343535, -122.43874000026935 37.7099890001175, -122.43867999999487 37.710069999671724, -122.43756500028445 37.71011400018208, -122.43704600042568 37.710043999745494, -122.43668800022542 37.71002300009906, -122.43677100006607 37.710156000128045, -122.4369779997553 37.71063699975745, -122.43699299982391 37.71074600023689, -122.43604899981771 37.7107480000486, -122.43526399982015 37.710905000022805, -122.43555300042347 37.71158000018276, -122.43484700006864 37.71184699998922, -122.43441100005056 37.71221699995657, -122.43422899957734 37.712468000058074, -122.4349990004046 37.71281299997949, -122.43457000005921 37.71343399976967, -122.43450999978472 37.71351900000657, -122.43405899969804 37.71331500026903))",86.78815489749431,75% and more
