contest,amount_raised,slate,count,votes,race
Adolfo Velasquez,17453.0,progressive,23462.0,25.662003565686284,DCCC
Anita Martinez,16572.0,progressive,26251.0,28.71252474651908,DCCC
Bilal Mahmood,274675.0,moderate,33841.0,37.01422993207696,DCCC
Brian Quan,52817.0,moderate,20938.0,29.5121710572681,DCCC
Carrie Barnes,141043.0,moderate,30140.0,32.966191606418235,DCCC
Catherine Stefani,121736.0,moderate,35676.0,50.28542433083852,DCCC
Cedric Akbar,37666.0,moderate,28805.0,31.50601025955133,DCCC
Connie Chan,61276.0,progressive,23036.0,32.46930807504193,DCCC
Dan Calamuci,58752.0,moderate,21090.0,29.72641549325553,DCCC
Emma Heiken,53969.0,moderate,32678.0,35.74217681866407,DCCC
Frances Hsieh,19890.0,progressive,18124.0,25.545829985764023,DCCC
Frank Tizedes,273.0,,2495.0,2.7289531538823324,DCCC
Gloria Berry,13644.0,progressive,23912.0,26.154199525304342,DCCC
Gordon Mar,19121.0,progressive,21265.0,29.973078495214736,DCCC
Greg Hardeman,56904.0,progressive,16199.0,22.83253696421272,DCCC
Hene Kelly,15247.0,progressive,16255.0,22.91146912483967,DCCC
Jade Tu,43782.0,moderate,22921.0,32.30721524518302,DCCC
Jane Kim,39302.0,progressive,31213.0,34.13980552790751,DCCC
Jen Nossokoff,900.0,,3329.0,4.692235048698324,DCCC
Jeremy Lee,15934.0,progressive,28017.0,30.644120445820164,DCCC
Joe Sangirardi,48385.0,moderate,30842.0,33.734017303422405,DCCC
John Avalos,16361.0,progressive,31792.0,34.773097662616074,DCCC
Joshua Rudy Ochoa,15455.0,progressive,24406.0,26.69452131208505,DCCC
Kristin Hardy,53544.0,progressive,24325.0,26.6059260393538,DCCC
Lanier Coles,92538.0,moderate,21445.0,30.22678901151564,DCCC
Laurance Lem Lee,40180.0,moderate,27916.0,30.533649797105888,DCCC
Leah Lacroix,12199.0,progressive,17241.0,24.30123895302127,DCCC
Lily Ho,70974.0,moderate,33769.0,36.93547857853807,DCCC
Luis Zamora,34574.0,moderate,27994.0,30.618963763439684,DCCC
Lyn Werbach,48067.0,moderate,28656.0,31.343038708477803,DCCC
Mano Raju,21357.0,progressive,18276.0,25.760074421751447,DCCC
Marjan Philhour,248100.0,moderate,24250.0,34.18044455720467,DCCC
Matt Dorsey,130634.0,moderate,41035.0,44.88280267317094,DCCC
Michael Lai,225960.0,moderate,32239.0,35.26201231583668,DCCC
Michael Nguyen,20287.0,progressive,29126.0,31.857110044078883,DCCC
Michela Alioto-Pier,117028.0,moderate,26553.0,37.42652966298787,DCCC
Mike Chen,56808.0,moderate,23203.0,32.70469505405443,DCCC
Nancy Tung,87248.0,moderate,35210.0,38.511599418115,DCCC
Natalie Gee,27318.0,progressive,19381.0,27.31757509126531,DCCC
Parag Gupta,54543.0,moderate,24074.0,33.932372052377126,DCCC
Patrick Bell,57231.0,progressive,22500.0,24.6097979809028,DCCC
Peter Gallotta,23133.0,progressive,29090.0,31.81773436730944,DCCC
Peter Ho Lik Lee,55648.0,moderate,28006.0,30.632088989029494,DCCC
Queena Chen,15691.0,progressive,15180.0,21.396253541375955,DCCC
Sal Rosselli,89329.0,progressive,24101.0,26.36092182834393,DCCC
Sandra Lee Fewer,23340.0,progressive,18069.0,25.46830732800541,DCCC
Sara Barz,52344.0,moderate,20505.0,28.9018563152776,DCCC
Sydney Simpson,23490.0,progressive,26230.0,28.689555601736902,DCCC
Trevor Chandler,58608.0,moderate,33676.0,36.833758080217,DCCC
Vick Chung,14459.0,progressive,25329.0,27.70406991370164,DCCC
Christopher Christensen,0.0,,4692.0,5.131963205617597,DCCC
