contest,amount_raised,slate,count,votes,race,won
Adolfo Velasquez,17453.0,progressive,23462.0,25.662003565686300,DCCC,FALSE
Anita Martinez,16572.0,progressive,26251.0,28.71252474651910,DCCC,FALSE
Bilal Mahmood,274675.0,moderate,33841.0,37.01422993207700,DCCC,TRUE
Brian Quan,52817.0,moderate,20938.0,29.5121710572681,DCCC,FALSE
Carrie Barnes,141043.0,moderate,30140.0,32.966191606418200,DCCC,TRUE
Catherine Stefani,121736.0,moderate,35676.0,50.28542433083850,DCCC,TRUE
Cedric Akbar,37666.0,moderate,28805.0,31.50601025955130,DCCC,TRUE
Connie Chan,61276.0,progressive,23036.0,32.46930807504190,DCCC,TRUE
Dan Calamuci,58752.0,moderate,21090.0,29.72641549325550,DCCC,TRUE
Emma Heiken,53969.0,moderate,32678.0,35.74217681866410,DCCC,TRUE
Frances Hsieh,19890.0,progressive,18124.0,25.545829985764000,DCCC,FALSE
Frank Tizedes,273.0,,2495.0,2.7289531538823300,DCCC,FALSE
Gloria Berry,13644.0,progressive,23912.0,26.154199525304300,DCCC,FALSE
Gordon Mar,19121.0,progressive,21265.0,29.973078495214700,DCCC,TRUE
Greg Hardeman,56904.0,progressive,16199.0,22.83253696421270,DCCC,FALSE
Hene Kelly,15247.0,progressive,16255.0,22.91146912483970,DCCC,FALSE
Jade Tu,43782.0,moderate,22921.0,32.30721524518300,DCCC,TRUE
Jane Kim,39302.0,progressive,31213.0,34.13980552790750,DCCC,TRUE
Jen Nossokoff,900.0,,3329.0,4.692235048698320,DCCC,FALSE
Jeremy Lee,15934.0,progressive,28017.0,30.644120445820200,DCCC,FALSE
Joe Sangirardi,48385.0,moderate,30842.0,33.734017303422400,DCCC,TRUE
John Avalos,16361.0,progressive,31792.0,34.773097662616100,DCCC,TRUE
Joshua Rudy Ochoa,15455.0,progressive,24406.0,26.69452131208510,DCCC,FALSE
Kristin Hardy,53544.0,progressive,24325.0,26.6059260393538,DCCC,FALSE
Lanier Coles,92538.0,moderate,21445.0,30.22678901151560,DCCC,TRUE
Laurance Lem Lee,40180.0,moderate,27916.0,30.533649797105900,DCCC,FALSE
Leah Lacroix,12199.0,progressive,17241.0,24.30123895302130,DCCC,FALSE
Lily Ho,70974.0,moderate,33769.0,36.93547857853810,DCCC,TRUE
Luis Zamora,34574.0,moderate,27994.0,30.618963763439700,DCCC,FALSE
Lyn Werbach,48067.0,moderate,28656.0,31.343038708477800,DCCC,FALSE
Mano Raju,21357.0,progressive,18276.0,25.760074421751400,DCCC,FALSE
Marjan Philhour,248100.0,moderate,24250.0,34.18044455720470,DCCC,TRUE
Matt Dorsey,130634.0,moderate,41035.0,44.88280267317090,DCCC,TRUE
Michael Lai,225960.0,moderate,32239.0,35.26201231583670,DCCC,TRUE
Michael Nguyen,20287.0,progressive,29126.0,31.857110044078900,DCCC,TRUE
Michela Alioto-Pier,117028.0,moderate,26553.0,37.42652966298790,DCCC,TRUE
Mike Chen,56808.0,moderate,23203.0,32.70469505405440,DCCC,TRUE
Nancy Tung,87248.0,moderate,35210.0,38.511599418115,DCCC,TRUE
Natalie Gee,27318.0,progressive,19381.0,27.31757509126530,DCCC,FALSE
Parag Gupta,54543.0,moderate,24074.0,33.932372052377100,DCCC,TRUE
Patrick Bell,57231.0,progressive,22500.0,24.6097979809028,DCCC,FALSE
Peter Gallotta,23133.0,progressive,29090.0,31.81773436730940,DCCC,TRUE
Peter Ho Lik Lee,55648.0,moderate,28006.0,30.632088989029500,DCCC,FALSE
Queena Chen,15691.0,progressive,15180.0,21.396253541376000,DCCC,FALSE
Sal Rosselli,89329.0,progressive,24101.0,26.36092182834390,DCCC,FALSE
Sandra Lee Fewer,23340.0,progressive,18069.0,25.46830732800540,DCCC,FALSE
Sara Barz,52344.0,moderate,20505.0,28.9018563152776,DCCC,FALSE
Sydney Simpson,23490.0,progressive,26230.0,28.689555601736900,DCCC,FALSE
Trevor Chandler,58608.0,moderate,33676.0,36.833758080217,DCCC,TRUE
Vick Chung,14459.0,progressive,25329.0,27.70406991370160,DCCC,FALSE
Christopher Christensen,0.0,,4692.0,5.131963205617600,DCCC,FALSE
