Date,Time,Location,Details,In SFPD policy
"May 19, 2022",19:48:00,Mariposa St. and Owens St.,Police were called to reports of a man being attacked with a knife. Suspect and victim were on the ground when officers opened fire and killed them both.,Undecided
"Jan. 20, 2022",07:30:00,SFO Airport,"A suspect was armed with a BB gun at SFO airport. The suspect lifted the BB gun towards officers, who shot and killed him.",Undecided
"Nov. 19, 2021",08:05:00,900 block of Folsom St.,"A suspect at a residential hotel ran at officers with a knife. One officer fired ""less-lethal"" weapons and the other fired their gun. The suspect was killed.",Undecided
"May 7, 2021",12:45:00,Jack London Alley and Brannan St.,"Plainclothes officers followed a group of auto burglary suspects. While attempting to detain one of the suspects, an officer shot them in the wrist.",Undecided
"Nov. 17, 2020",17:09:00,Market St. and 5th St.,"Officers were called to break up a fight between two men. One man held a knife, and did not drop it when asked. Officers shot the suspect with ""less-lethal"" weapons and with guns; he was injured.",Undecided
"Oct. 10, 2020",23:25:00,Market St. and Gough St.,A suspect allegedly connected to a carjacking ran at two officers with a knife. Both officers shot and killed him.,Yes
"Apr. 21, 2020",06:36:00,500 block of Jones St.,"A suspect found trespassing in a building was wielding a ""wooden board."" Among ""multiple uses of force,"" an officers shot at the suspect, but they were not struck.",Yes
"Apr. 12, 2020",05:40:00,South San Francisco,"An off-duty officer intervened in a carjacking. The suspect attacked the officer with a knife. The officer shot and injured the suspect, who stole a police car and fled. He was later killed by South San Francisco PD.",Yes
"Dec. 7, 2019",08:34:00,23rd St. and Capp St.,A suspect hit an officer with a glass bottle; two officers shot and seriously injured him.,Undecided
"Sep. 13, 2019",15:55:00,Berkeley,"An off-duty officer shot at a car after a ""traffic altercation."" The other car left at high speed.",Undecided
"Aug. 25, 2019",22:15:00,El Cerrito,"An off-duty officer confronted a ""subject inside the gated area of a condo complex."" The subject tried to hit the officer with a rock; the officer shot and injured him.",Yes
"June 9, 2018",00:17:00,Grant Ave. and Green St.,"A suspect ""acting in a suspicious manner"" fled from officers. He took a handgun from his waistband; an officer shot him twice and injured him.",Undecided
"May 11, 2018",00:59:00,Steiner St. and Geary Blvd.,A suspect fled after a potential auto-burglary. The suspect got into a car and collided with several other vehicles as he tried to flee. A recruit officer shot at the car twice. There were no injuries and the suspect was later arrested.,No
"Mar. 21, 2018",23:36:00,900 block of Geneva Ave.,Two officers tried to detain a suspect in a barber shop. The suspect shot one in the leg; the officers returned fire and killed him. Four bystanders were injured.,Yes
"Mar. 6, 2018",22:36:00,21st St. and Capp St.,"Trying to flee after an armed robbery, a suspect concealed himself in a car trunk. He shot at officers and ten returned fire, killing him.",Yes
"Feb. 17, 2018",00:13:00,De Haro St. and Alameda St.,A suspect wanted in connection to a homicide fired upon officers from within an RV. Seven officers returned fire. There were no injuries; the suspect was arrested.,Undecided
"Dec. 18, 2017",13:25:00,1001 Hilltop Mall Rd.,An off-duty officer died from a self-inflicted gunshot wound.,No
"Dec. 1, 2017",10:30:00,2600 block of Griffith St.,"A recruit officer and his training officer chased a suspect wanted in connection to a carjacking. The suspect stopped his vehicle, got out, and ran towards the officers' car. The recruit shot and killed the suspect.",Undecided
"Nov. 1, 2017",00:21:00,18th St. and Diamond St.,Two officers interrupted an auto burglary. The suspect shot at both officers; one was injured. The other officer fired back and injured the suspect.,Yes
"Sep. 24, 2017",02:57:00,Salmon St.,Officers shot and killed an armed suspect holding a woman and child hostage. There were no other injuries.,Yes
"May 3, 2017",11:22:00,900 block of Market St.,"Officers say they saw a suspect stabbing a restaurant employee. The suspect, carrying a knife, chased the employee. An officer shot and killed the suspect.",Yes
