contest,amount_raised,slate,votes,race,won
Adolfo Velasquez,17453.0,progressive,9735,DCCC,FALSE
Anita Martinez,16572.0,progressive,11181,DCCC,FALSE
Bilal Mahmood,274675.0,moderate,15631,DCCC,TRUE
Brian Quan,52817.0,moderate,9614,DCCC,FALSE
Carrie Barnes,141043.0,moderate,13946,DCCC,TRUE
Catherine Stefani,121736.0,moderate,16499,DCCC,TRUE
Cedric Akbar,37666.0,moderate,13185,DCCC,TRUE
Connie Chan,61276.0,progressive,9853,DCCC,TRUE
Dan Calamuci,58752.0,moderate,9740,DCCC,TRUE
Emma Heiken,53969.0,moderate,15182,DCCC,TRUE
Frances Hsieh,19890.0,progressive,7432,DCCC,FALSE
Frank Tizedes,273.0,,1237,DCCC,FALSE
Gloria Berry,13644.0,progressive,9860,DCCC,FALSE
Gordon Mar,19121.0,progressive,8961,DCCC,TRUE
Greg Hardeman,56904.0,progressive,6444,DCCC,FALSE
Hene Kelly,15247.0,progressive,6513,DCCC,FALSE
Jade Tu,43782.0,moderate,10456,DCCC,TRUE
Jane Kim,39302.0,progressive,13365,DCCC,TRUE
Jen Nossokoff,900.0,,1660,DCCC,FALSE
Jeremy Lee,15934.0,progressive,12012,DCCC,FALSE
Joe Sangirardi,48385.0,moderate,14321,DCCC,TRUE
John Avalos,16361.0,progressive,13873,DCCC,TRUE
Joshua Rudy Ochoa,15455.0,progressive,9939,DCCC,FALSE
Kristin Hardy,53544.0,progressive,10081,DCCC,FALSE
Lanier Coles,92538.0,moderate,9917,DCCC,TRUE
Laurance Lem Lee,40180.0,moderate,13131,DCCC,FALSE
Leah Lacroix,12199.0,progressive,7001,DCCC,FALSE
Lily Ho,70974.0,moderate,16010,DCCC,TRUE
Luis Zamora,34574.0,moderate,12952,DCCC,FALSE
Lyn Werbach,48067.0,moderate,13492,DCCC,FALSE
Mano Raju,21357.0,progressive,7396,DCCC,FALSE
Marjan Philhour,248100.0,moderate,11245,DCCC,TRUE
Matt Dorsey,130634.0,moderate,19860,DCCC,TRUE
Michael Lai,225960.0,moderate,15081,DCCC,TRUE
Michael Nguyen,20287.0,progressive,12611,DCCC,TRUE
Michela Alioto-Pier,117028.0,moderate,12999,DCCC,TRUE
Mike Chen,56808.0,moderate,10618,DCCC,TRUE
Nancy Tung,87248.0,moderate,17052,DCCC,TRUE
Natalie Gee,27318.0,progressive,8037,DCCC,FALSE
Parag Gupta,54543.0,moderate,11083,DCCC,TRUE
Patrick Bell,57231.0,progressive,9246,DCCC,FALSE
Peter Gallotta,23133.0,progressive,12339,DCCC,TRUE
Peter Ho Lik Lee,55648.0,moderate,13113,DCCC,FALSE
Queena Chen,15691.0,progressive,5948,DCCC,FALSE
Sal Rosselli,89329.0,progressive,10022,DCCC,FALSE
Sandra Lee Fewer,23340.0,progressive,7460,DCCC,FALSE
Sara Barz,52344.0,moderate,9227,DCCC,FALSE
Sydney Simpson,23490.0,progressive,11073,DCCC,FALSE
Trevor Chandler,58608.0,moderate,15957,DCCC,TRUE
Vick Chung,14459.0,progressive,10759,DCCC,FALSE
Christopher Christensen,0.0,,2594,DCCC,FALSE
