date,payee,amount,date_formatted,amount_formatted,tag,location
2020-10-08,"YES ON 16, OPPORTUNITY FOR ALL COALITION",200000.0,10/08/2020,"$200,000.00",miscellaneous,CA
2020-10-13,WORKFORCE HOUSING ALLIANCE PAC,150000.0,10/13/2020,"$150,000.00",supervisorial races,SF
2020-10-16,WORKFORCE HOUSING ALLIANCE PAC,150000.0,10/16/2020,"$150,000.00",supervisorial races,SF
2020-10-29,WORKFORCE HOUSING ALLIANCE PAC,125000.0,10/29/2020,"$125,000.00",supervisorial races,SF
2020-10-06,"NO ON I, SPONSORED BY THE SAN FRANCISCO CHAMBER OF COMMERCE",110000.0,10/06/2020,"$110,000.00",anti-tax,SF
2020-10-02,WORKFORCE HOUSING ALLIANCE PAC,100000.0,10/02/2020,"$100,000.00",supervisorial races,SF
2020-10-26,WORKFORCE HOUSING ALLIANCE PAC,100000.0,10/26/2020,"$100,000.00",supervisorial races,SF
2020-10-26,WORKFORCE HOUSING ALLIANCE PAC,100000.0,10/26/2020,"$100,000.00",supervisorial races,SF
2020-10-23,EDWIN M. LEE ASIAN PACIFIC DEMOCRATIC CLUB,80000.0,10/23/2020,"$80,000.00",Democratic clubs,SF
2020-10-27,"YES ON 16, OPPORTUNITY FOR ALL COALITION",70000.0,10/27/2020,"$70,000.00",miscellaneous,CA
2020-11-13,WORKFORCE HOUSING ALLIANCE PAC,68000.0,11/13/2020,"$68,000.00",supervisorial races,SF
2020-10-06,"COMMITTEE TO SAVE CALTRAIN, YES ON MEASURE RR",60000.0,10/06/2020,"$60,000.00",transit,regional
2020-10-13,"NO ON I, SPONSORED BY THE SAN FRANCISCO CHAMBER OF COMMERCE",55000.0,10/13/2020,"$55,000.00",anti-tax,SF
2020-10-06,NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13,50000.0,10/06/2020,"$50,000.00",anti-tax,CA
2020-10-13,NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13,50000.0,10/13/2020,"$50,000.00",anti-tax,CA
2020-10-26,WORKFORCE HOUSING ALLIANCE PAC,50000.0,10/26/2020,"$50,000.00",supervisorial races,SF
2020-10-13,"YES ON 16, OPPORTUNITY FOR ALL COALITION",40000.0,10/13/2020,"$40,000.00",miscellaneous,CA
2020-11-11,"YES ON A, SF HEALTH AND RECOVERY BOND",37000.0,11/11/2020,"$37,000.00",homelessness/mental health,SF
2020-10-06,"YES ON 16, OPPORTUNITY FOR ALL COALITION",33000.0,10/06/2020,"$33,000.00",miscellaneous,CA
2020-10-06,"NO ON I, SPONSORED BY THE SAN FRANCISCO CHAMBER OF COMMERCE",30000.0,10/06/2020,"$30,000.00",anti-tax,SF
2020-10-06,"YES ON A, SF HEALTH AND RECOVERY BOND",30000.0,10/06/2020,"$30,000.00",homelessness/mental health,SF
2020-10-16,"COMMITTEE TO SAVE CALTRAIN, YES ON MEASURE RR",30000.0,10/16/2020,"$30,000.00",transit,regional
2020-10-16,"YES ON 16, OPPORTUNITY FOR ALL COALITION",30000.0,10/16/2020,"$30,000.00",miscellaneous,CA
2020-10-02,"YES ON H, SAVE OUR SMALL BUSINESSES",29000.0,10/02/2020,"$29,000.00",housing,SF
