name,contest,amount,committee,position
Marjan Philhour,D1,136064,Vote Marjan for Supverisor 2024,support
Connie Chan,D1,101585,Connie Chan for Supervisor 2024,support
Connie Chan,D1,72021,Coalition to Grow San Francisco - Grow SF PAC Opposing Chan for Supervisor 2024,oppose
Jen Nossokoff,D1,11653,Jen Nossofoff for D1 2024,support
Sharon Lai,D3,86241,Sharon Lai for Supervisor 2024,support
Danny Sauter,D3,74556,Danny Sauter for Supervisor 2024,support
Moe Jamil,D3,71672,Moe Jamil for Supervisor 2024,support
Dean Preston,D5,156791,Dean Preston for Supervisor 2024,support
Dean Preston,D5,301458,Coalition to Grow San Francisco - Grow SF PAC Opposing Preston for Supervisor 2024,oppose
Bilal Mahmood,D5,63387,Bilal Mahmood for Supervisor 2024,support
Myrna Melgar,D7,71890,Re-elect Myrna Melgar for Supervisor 2024,support
Matthew Boschetto,D7,65934,Matt Boschetto for D7 Supervisor 2024,support
Stephen Martin-Pinto,D7,14661,Stephen Martin-Pinto for Supervisor 2024,support
"Jackie Fielder ",D9,112742,Jackie Fielder for Supervisor 2024,support
Roberto Hernandez,D9,100577,Roberto Hernandez for Supervisor 2024,support
Trevor Chandler,D9,90840,Trevor Chandler for Supervisor 2024,support
Stephen Torres,D9,13848,Stephen Torres for Supervisor 2024,support
Julian Bermudez,D9,740,Julian Bermudez for District 9 Supervisor 2024,support
Ernest Jones,D11,70501,Ernest 'EJ' Jones for Supervisor 2024,"support"
Jeremiah Boehner,D1,0,,
Sherman D'Silva,D1,0,,
Jconr B. Ortega,D3,0,,
Matthew Susk,D3,0,,
Edward Navarro,D3,0,,
Allen Jones,D5,0,,
Autumn Looijen,D5,0,,
Michael Petrelis,D9,0,,
Jaime Gutierrez,D9,0,,
h brown,D9,0,,
Adlah Chisti,D11,0,,
Roger Marenco,D11,0,,
Chyanne Chen,D11,0,,
Michael Lai,D11,0,,
