,committee_name,total_donation,mean_donation,district
1,ADLAH CHISTI FOR SUPERVISOR 2024,14500.0,168.6046511627907,D11
6,BILAL MAHMOOD FOR SUPERVISOR 2024,169707.0,314.9106145251397,D5
8,CHYANNE CHEN FOR SUPERVISOR 2024,90066.0,217.8875305623472,D11
14,CONNIE CHAN FOR SUPERVISOR 2024,110195.0,273.8542713567839,D1
16,DANNY SAUTER FOR SUPERVISOR 2024,127663.0,274.3172866520788,D3
18,DEAN PRESTON FOR SUPERVISOR 2024,236106.0,298.36409608091026,D5
21,EDUARD NAVARRO FOR SUPERVISOR 2024,10005.0,156.328125,D3
25,ERNEST 'EJ' JONES FOR SUPERVISOR 2024,89270.0,216.06356968215158,D11
30,JACKIE FIELDER FOR SUPERVISOR 2024,156519.0,255.3118811881188,D9
31,JAIME GUTIERREZ FOR SUPERVISOR 2024,9054.0,170.83018867924528,D9
33,JEN NOSSOKOFF FOR DISTRICT 1 SUPERVISOR 2024,15050.0,185.80246913580248,D1
35,JULIAN BERMUDEZ FOR DISTRICT 9 SUPERVISOR 2024,1100.0,366.6666666666667,D9
38,LOOIJEN FOR D5 SUPERVISOR 2024,29482.0,198.80851063829786,D5
43,MATT BOSCHETTO FOR D7 SUPERVISOR 2024,122030.0,318.71391076115486,D7
46,MICHAEL LAI FOR SUPERVISOR 2024,146626.0,339.12,D11
48,MOE JAMIL FOR SUPERVISOR 2024,135059.0,310.4804597701149,D3
49,OSCAR FLORES FOR SUPERVISOR 2024,1150.0,383.3333333333333,D11
53,RE-ELECT MYRNA MELGAR FOR SUPERVISOR 2024,90060.0,302.56756756756755,D7
54,ROBERTO HERNANDEZ FOR SUPERVISOR 2024,112949.0,293.89972899728997,D9
58,SCOTTY JACOBS FOR SUPERVISOR 2024,20680.0,173.78151260504202,D5
59,SHARON LAI FOR SUPERVISOR 2024,125842.0,297.33653846153845,D3
60,STEPHEN MARTIN-PINTO FOR SUPERVISOR 2024,17743.0,194.97802197802199,D7
61,STEPHEN TORRES FOR SUPERVISOR 2024,18775.0,177.12264150943398,D9
62,SUSK FOR SUPERVISOR 2024,40800.0,250.30674846625766,D3
63,TREVOR CHANDLER FOR SUPERVISOR 2024,104207.0,252.3675,D9
65,VOTE MARJAN PHILHOUR FOR SUPERVISOR 2024,190959.0,371.5440313111546,D1

