Voting Precinct,Polling Place Name,Polling Place Address,Polling Place Entrance Instructions,Highest Slope Along Path of Travel,ADA Accessible?,Zip Code,Full Address,Latitude,Longitude,VRA § 203: Chinese,VRA § 203: Spanish,CAEC § 14201: Burmese,CAEC § 14201: Japanese,CAEC § 14201: Korean,CAEC § 14201: Thai,CAEC § 14201: Vietnamese,SF Language Access: Filipino
Pct 1101,Temple United Methodist Church - Activities Room,65 Beverly St,Btw Shields & 19th Ave,2.6% Slope,Yes,"94132",65 Beverly St 94132 ,"37.717492","-122.471863","1","0","0","0","0","0","0","0"
Pct 1102,I. T. Bookman Comm Ctr - Multi Purpose Rm,446 Randolph St,Btw Arch & Ramsell,8.3% Slope - Ramped Access,Yes,94132-3122,446 Randolph St 94132-3122 ,"37.7145015","-122.466848","1","0","0","0","0","0","0","0"
Pct 1103 MB,Precinct does not have an assigned polling place as authorized under CAEC § 3005,,,,,,  ,,,,,,,,,,
Pct 1104,Garage,320 Garfield St,Btw Victoria & Ramsell,4.8% Slope,Yes,"94132",320 Garfield St 94132 ,"37.7198743","-122.4657917","1","0","0","0","0","0","0","0"
Pct 1105,Jose Ortega Elementary School - Lobby,400 Sargent St,Btw Arch & Ramsell,8.3% Slope - Ramped Access,Yes,"94132",400 Sargent St 94132 ,"37.7164174","-122.4663083","1","0","0","0","0","0","0","0"
Pct 1106,Ocean View Library - Story Room,345 Randolph St,Btw Victoria & Ramsell,2.0% Slope - Access Via Elevator,Yes,94132-3119,345 Randolph St 94132-3119 ,"37.7141406","-122.4659889","1","0","0","0","0","0","0","0"
Pct 1107,Firehouse #33 - Right Bay,8 Capitol Ave,Btw Sagamore & I-280,6.7% Slope - Ramped Access,Yes,"94112",8 Capitol Ave 94112 ,"37.7108642","-122.4586033","1","1","0","0","0","0","0","0"
Pct 1108,New Providence Baptist Church,218 Granada Ave,Btw Ocean & Holloway,8.3% Slope - Ramped Access,Yes,94112-2244,218 Granada Ave 94112-2244 ,"37.7224847","-122.4569488","1","0","0","0","0","0","0","0"
Pct 1109,Holloway Terrace,1099 Capitol Ave,Corner Of Capitol & Holloway,4.5% Slope,Yes,"94112",1099 Capitol Ave 94112 ,"37.721706","-122.4594963","1","0","0","0","0","0","0","0"
Pct 1111,Sheridan School - Auditorium Lobby,431 Capitol Ave,Enter At Farallones Btw Capitol & Orizaba,8.3% Slope,Yes,94112-2934,431 Capitol Ave 94112-2934 ,"37.7145979","-122.4596391","1","1","0","0","0","0","0","0"
Pct 1112,Garage,114 Lee Ave,Btw Grafton & Holloway,8.0% Slope,Yes,"94112",114 Lee Ave 94112 ,"37.7203823","-122.4539446","1","0","0","0","0","0","1","0"
Pct 1113,Minnie & Lovie Rec Center - Multi Purpose Room,650 Capitol Ave,Btw Minerva & Lobos,8.3% Slope - Ramped Access,Yes,94112-2958,650 Capitol Ave 94112-2958 ,"37.7161329","-122.457412","1","0","0","0","0","0","0","0"
Pct 1114,Garage,155 Sadowa St,Btw Capitol & Plymouth,6.5% Slope,Yes,94112-2941,155 Sadowa St 94112-2941 ,"37.7121419","-122.4576807","1","1","0","0","0","0","0","0"
Pct 1115,Wilmes Company - Garage,5978 Mission St,Btw Liebig & Huron,4.8% Slope,Yes,"94112",5978 Mission St 94112 ,"37.7082603","-122.4550283","1","1","0","0","0","0","0","0"
Pct 1116 MB,Precinct does not have an assigned polling place as authorized under CAEC § 3005,,,,,,  ,,,,,,,,,,
Pct 1117,Lick Wilmerding School,755 Ocean Ave,Btw Ocean & Howth,4.9% Slope,Yes,"94112",755 Ocean Ave 94112 ,"37.7226249","-122.4492893","1","0","0","0","0","0","1","0"
Pct 1118,Garage,2584 San Jose Ave,Btw Mount Vernon & Lakeview,6.0% Slope,Yes,"94112",2584 San Jose Ave 94112 ,"37.7167354","-122.4502207","1","1","0","0","0","0","1","0"
Pct 1119,Cayuga Playground Clubhouse,301 Naglee Ave,Enter At Corner Of Cayuga & Naglee,4.7% Slope,Yes,"94112",301 Naglee Ave 94112 ,"37.7138536","-122.4504393","1","0","0","0","0","0","0","0"
Pct 1121,Garage,483 Ellington Ave,Btw Whipple & Naglee,2.8% Slope,Yes,"94112",483 Ellington Ave 94112 ,"37.7111622","-122.4479147","1","1","0","0","0","0","0","0"
Pct 1122,Garage,124 Del Monte St,Btw Mount Vernon & Ottawa,1.3% Slope,Yes,"94112",124 Del Monte St 94112 ,"37.7153379","-122.4442632","1","1","0","0","0","0","0","0"
Pct 1123,Geneva Community Center,5050 Mission St,Btw Seneca & Amazon,0.3% Slope - Access Via Wheelchair Lift,Yes,"94112",5050 Mission St 94112 ,"37.7175355","-122.4404591","1","1","0","0","0","0","0","0"
