address,lat,lng,number,description,photo_name,number_metal,number_barrel,id
100 San Jose Ave,37.75346874,-122.4216144,24,"Three clay pots, six large metal tubs, one small round metal pot, one tote-shaped container, one black plastic pot, one round pot, and 12 wooden barrels. ",100sanjose.jpg,6,12,new
1000 Capp St,37.75063458,-122.4174206,10,"Five barricades, seven metal tubs, and three wooden barrels.",SW 25th between CAPP and SVN.jpg,7,3,new
1001 South Van Ness,37.75704085,-122.4166128,1,One plastic rectangular pot,1001svn.jpg,0,0,old
1011 York St,37.75577446,-122.4084227,3,"Two wooden pots, one other large pot.",will_085_1011York.jpg,0,2,new
1014 Alabama St,37.75537039,-122.4113235,1,Large concrete planter.,,0,0,old
1022 Alabama St,37.75513375,-122.4113199,4,Planters by steps.,will_034_1022Alabama.jpg,0,0,old
1024 Hampshire St,37.7556629,-122.4076759,15,"Lots of pots, some trays, around a tree.",will_097_1024Hampshire.jpg,0,0,old
1024 Shotwell St,37.75157218,-122.4151861,2,Two big concrete pots,1024shotwell.jpg,0,0,old
1034 Guerrero St,37.7546186,-122.4232771,3,Three wooden boxes stacked,1034guerrero.jpg,0,0,old
1034 Potrero Ave,37.75556234,-122.4067756,2,"One large ceramic pot, one wooden pot.",will_104_1034Potrero.jpg,0,0,old
1036 Florida St,37.75531017,-122.4104138,15,Pots and planters around brick sidewalk garden.,will_053_1036Florida.jpg,0,0,old
104 San Jose Ave,37.75319989,-122.4216197,2,Two wooden barrels,104sanjose.jpg,0,2,new
1043 York St,37.75537196,-122.408385,1,Wooden barrel.,will_086_1043York.jpg,0,0,old
1045 Hampshire St,37.7554276,-122.4074806,2,Elevated concrete planters.,will_096_1045Hampshire.jpg,0,0,old
105 San Jose Ave,37.75333003,-122.4214423,1,One wooden barrel,105sanjose.jpg,0,1,new
1058 Valencia St,37.75597355,-122.4211663,3,Three huge pots,1058guerrero.jpg,0,0,old
1074 Shotwell St,37.75130502,-122.4151749,4,Four long gray wood rectangular planter boxes,1074shotwell.jpg,0,0,old
1075 Hampshire St,37.75496293,-122.4074299,10,Several large ceramic pots.,will_094_1075Hampshire.jpg,0,0,old
1076 Florida St,37.75473228,-122.410359,2,Tall ceramic trays.,will_054_1076Florida.jpg,0,0,old
1078 Hampshire St,37.75489313,-122.4075948,2,Tall wooden tray and wooden pot.,will_095_1078Hampshire.jpg,0,0,old
108 San Jose Ave,37.75306763,-122.4216389,2,Two wooden barrels,108sanjose.jpg,0,2,new
1080 Alabama St,37.75468159,-122.4112592,1,Two terracotta planters.,will_033_1080Alabama.jpg,0,0,old
1084A Capp St,37.7494495,-122.4171872,2,Two wooden barrels,1084acapp.jpg,0,2,new
1090 Capp St,37.74940197,-122.4171915,2,Two wooden barrels,1090capp.jpg,0,2,new
1098 Shotwell St,37.75102306,-122.4151517,3,Three concrete rectangular planters with dark purple plants,1098shotwell.jpg,0,0,old
1101 Capp St,37.74888557,-122.4169714,1,One metal tub,1101capp.jpg,1,0,new
1101 York St,37.75428173,-122.4082731,10,"Lots of pots, sidewalk garden.",will_087_1101York.jpg,0,0,old
1102 Shotwell St,37.75079068,-122.4151741,9,Wooden barrel,Shotwell and 25th SW corner.jpg,0,9,new
1107 Hampshire St,37.75438545,-122.4073805,15,Several ceramic pots and a few large wooden pots.,will_093_1107Hampshire.jpg,0,0,old
1109 Valencia St,37.75512144,-122.4208435,1,One medium-sized rectangular planter box,1109valencia.jpg,0,0,old
1111 Florida St,37.75416894,-122.4101549,17,Ceramic pots and concrete trays.,will_055_1111Florida.jpg,0,0,old
1113 York St,37.7539253,-122.4082335,2,Very large ceramic pots.,will_088_1113York.jpg,0,0,old
1117 Alabama St,37.75373814,-122.411014,1,Wooden barrel planter.,will_031_1117Alabama.jpg,0,1,new
112 San Jose Ave,37.75272317,-122.421671,1,One wooden barrel,112sanjose.jpg,0,1,new
1127 York St,37.75373645,-122.408236,4,Wooden planters.,will_089_1127York.jpg,0,0,old
